"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 16 10:26:49 CST 2022","Thu Jun 16 10:26:55 CST 2022","5770","","ru.netology.web.CardDeliveryTest","","ru.netology.web.CardDeliveryTest","shouldGetErrorIfWrongPhone","Поялвение ошибки при вводе неверного формата мобильного телефона",""
"passed","Thu Jun 16 10:26:36 CST 2022","Thu Jun 16 10:26:49 CST 2022","12494","","ru.netology.web.CardDeliveryTest","","ru.netology.web.CardDeliveryTest","shouldRegisterByAccount","Успешное планирование встречи",""
